Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
 	Herpestes ichneumon	Mongoose (+)	 	20.0	x	[67] [100] [159] [176] [263]
 	Herpestes javanicus	Javan mongoose (+)	 	8.0	x	[100]
 	Herpestes sanguineus	Slender mongoose	 	6.0	x	[100]
 	Ichneumia albicauda	White-tailed mongoose (+)	 	12.0	x	[100]
 	Ichneumia albicauda	White-tailed mongoose (+)	 	10.0	x	[143]
 	Mungos mungo	Banded mongoose	 	12.0	x	[322]
 	Mungos mungo	Banded mongoose	 	11.0	x	[100]
 	Nandinia binotata	African palm civet	 	15.8	x	[143]
 	Nandinia binotata	African palm civet (+)	 	15.0	x	[100]
 	Paguma larvata	Masked palm civet	 	15.4	x	[176] [207]
 	Paguma larvata	Masked palm civet	 	15.0	x	[192]
 	Paguma larvata	Masked palm civet	18.0	 	x	[100]
 	Paradoxurus hermaphroditus	Common palm civet (+)	22.0	 	x	[100]
 	Paradoxurus hermaphroditus	Common palm civet	 	22.4	x	[207]
 	Poiana richardsoni	African linsang	 	5.3	x	[143]
 	Poiana richardsoni	African linsang (+)	 	5.0	x	[100]
 	Prionodon linsang	Banded linsang (+)	 	10.0	x	[100]
 	Prionodon linsang	Banded linsang	 	10.7	x	[143]
 	Salanoia concolor	Salano	4.8	 	x	[21]
 	Salanoia concolor	Salano	 	4.8	x	[143]
 	Suricata suricatta	Meerkat	 	12.5	x	[143]
 	Suricata suricatta	Meerkat (+)	 	12.0	x	[100]
 	Viverra civetta	African civet	28.0	 	x	[21]
 	Viverra tangalunga	Tangalunga	 	12.0	x	[100]
 	Viverra zibetha	Oriental civet (+)	 	15.0	x	[100]
 	Viverra zibetha	Oriental civet (+)	 	20.0	x	[294]
 	Viverricula indica	Lesser Oriental civet	 	10.5	x	[143]
 	Viverricula indica	Lesser Oriental civet (+)	 	8.0	x	[100]
Balaenidae	Balaena mysticetus	Bowhead whale	40.0	 	x	[10] [26] [65] [195] [226]
 	Balaena mysticetus	Bowhead whale (+)	30.0	 	x	[100]
Balaenopteridae	Balaenoptera acutorostrata	Minke whale	50.0	 	x	[100]
 	Balaenoptera acutorostrata	Minke whale	47.0	 	x	[105]
 	Balaenoptera acutorostrata	Minke whale	45.0	 	x	[192]
 	Balaenoptera borealis	Sei whale	70.0	 	x	[100]
 	Balaenoptera borealis	Sei whale	74.0	 	x	[105]
 	Balaenoptera edeni	Bryde’s whale	72.0	 	x	[65] [105] [185] [213] [284]
 	Balaenoptera musculus	Blue whale	45.0	 	x	[21]
 	Balaenoptera musculus	Blue whale	50.0	 	x	[100]
 	Balaenoptera musculus	Blue whale	110.0	 	x	[105]
 	Balaenoptera musculus	Blue whale	65.0	 	x	[192]
 	Balaenoptera physalus	Fin whale	116.0	 	x	[21]
 	Balaenoptera physalus	Fin whale	114.0	 	x	[105]
 	Megaptera novaeangliae	Humpback whale	77.0	 	x	[105]
 	Megaptera novaeangliae	Humpback whale	95.0	 	x	[192]
Delphinidae	Cephalorhynchus commersonii	Southern dolphin	18.0	 	x	[94] [186]
 	Delphinus delphis	Common dolphin (+)	20.0	 	x	[175] [240] [284]
 	Globicephala sieboldii (= macrorhynchus)	Pilot whale	63.0	 	f	[149]
 	Globicephala sieboldii (= macrorhynchus)	Pilot whale	46.0	 	m	[149]
 	Grampus griseus	Risso’s dolphin	20.0	 	x	[229]
 	Lagenorhynchus acutus	Atlantic white-sided dolphin	27.0	 	f	[10] [212] [281] [284] [333]
 	Lagenorhynchus acutus	Atlantic white-sided dolphin	22.0	 	m	[10] [212] [281] [284] [333]
 	Lagenorhynchus obliquidens	Pacific white-sided dolphin	 	20.0	x	[10] [212] [281] [284] [333]
 	Orcinus orca	Killer whale	90.0	 	x	[21]
 	Orcinus orca	Killer whale	50.0	 	x	[105]
 	Orcinus orca	Killer whale	100.0	 	x	[192]
 	Peponocephala electra	Many-toothed blackfish	47.0	 	x	[31] [240]
 	Pseudorca crassidens	False killer whale	22.0	 	x	[240] [247]
 	Stenella attenuata	Spotted dolphin	46.0	 	x	[229]
 	Stenella coeruleoalba	Striped dolphin	50.0	 	x	[229]
 	Steno bredanensis	Rough-toothed dolphin	32.0	 	x	[240]
 	Tursiops aduncus (= truncatus)	Bottle-nosed dolphin	35.0	 	x	[212] [230] [270] [283] [285]
 	Tursiops truncatus	Bottle-nosed dolphin	25.0	 	x	[21]
 	Tursiops truncatus	Bottle-nosed dolphin (+)	25.0	30.0	x	[100]
 	Tursiops truncatus	Bottle-nosed dolphin	25.0	 	x	[21] [212] [230] [270] [283] [285]
Eschrichtidae	Eschrichtius robustus	Gray whale	70.0	 	x	[105]
 	Eschrichtius robustus	Gray whale	77.0	 	x	[192]
Iniidae	Inia geoffrensis	Amazon dolphin	30.0	18.0	x	[30]
Monodontidae	Delphinapterus leucas	White, or beluga whale	17.3	 	x	[21]
 	Delphinapterus leucas	White, or beluga whale	30.0	 	x	[25] [27] [282]
 	Delphinapterus leucas	White, or beluga whale	40.0	 	x	[192]
 	Monodon monoceros	Narwhal	40.0	 	x	[18] [65] [192] [194] [255] [305]
Phocoenidae	Neophocaena phocaenoides	Finless porpoise	23.0	 	x	[148] [192]
 	Phocoena phocoena	Common porpoise	13.0	 	x	[84] [85] [86] [192] [290]
 	Phocoenoides dalli	Dall’s porpoise	22.0	 	x	[140] [146]
 	Phocoenoides dalli	Dall’s porpoise (+)	17.0	 	x	[192]
Physeteridae	Kogia breviceps	Pygmy sperm whale	17.0	 	x	[192]
 	Physeter catodon	Sperm whale	77.0	 	x	[18] [36] [80] [105] [231] [232] [256]
 	Physeter macrocephalus	Sperm whale (+)	32.0	 	x	[21]
 	Physeter macrocephalus	Sperm whale	70.0	 	x	[192]
Platanistidae	Platanista gangetica	Ganges and Indus dolphins	28.0	 	m	[147]
 	Platanista gangetica	Ganges dolphin (+)	28.0	 	x	[192]
 	Platanista minor	Indus dolphin (+)	28.0	 	x	[192]
Pontoporiidae	Pontoporia blainvillei	La Plata dolphin	16.0	 	x	[30] [107] [108] [150] [192]
Ziphiidae	Berardius bairdii	Baird’s beaked whale	71.0	 	x	[199]
 	Hyperoodon ampullatus	Northern bottle-nosed whale	37.0	 	x	[14] [192]
 	Mesoplodon densirostris	Beaked whale	27.0	 	f	[199]
 	Ziphius cavirostris	Goose-beaked whale	36.0	 	x	[199]
Hipposideridae	Hipposideros fulvus	Old World leaf-nosed bat	12.0	 	x	[313]
Molossidae	Tadarida brasiliensis	Free-tailed bat (+)	8.0	 	x	[174]
Noctilionidae	Noctilio leporinus	Bulldog bat	 	11.5	x	[143]
Phyllostomidae	Anoura geoffroyi	Geoffroy’s long-nosed bat (+)	 	10.0	x	[143]
 	Artibeus jamaicensis	Neotropical fruit bat (+)	 	10.0	x	[143]
 	Carollia perspicillata	Short-tailed leaf-nosed bat (+)	 	12.4	x	[143]
 	Desmodus rotundus	Common vampire bat	 	19.5	f	[187]
 	Glossophaga soricina	Long-tongued nector bat (+)	 	10.0	x	[143]
 	Macrotus californicus	 	10.4	 	x	[314]
 	Vampyrops lineatus	White-lined bat	 	10.2	x	[143]
Pteropodidae	Eidolon helvum	Straw-colored fruit bat	 	21.8	x	[143]
 	Pteropus giganteus	Flying fox	 	31.4	x	[143]
 	Rousettus aegypticus.	Rousette fruit bat	 	22.9	x	[143]
Rhinolophidae	Rhinolophus ferrumequinum	Horseshoe bat (+)	30.0	 	x	[39]
 	Rhinolophus ferrumquinum	Greater horseshoe bat	23.0	 	x	[100]
 	Rhinolophus hipposideros	Lesser horseshoe bat	18.0	 	x	[100]
Vespertilionidae	Antrozous pallidus	Pallid bat	9.1	 	x	[182]
 	Barbastella barbastellus	Barbastelle	21.0	 	x	[100]
 	Eptesicus fuscus	Big brown bat	19.0	 	x	[119] [278]
 	Eptesicus serotinus	Serotine	6.0	 	x	[83]
 	Lasionycteris noctivagans	Silver-haired bat	12.0	 	x	[313]
 	Lasiurus cinereus	Hoary bat	2.1	 	m	[313]
 	Miniopterus schreibersi	Schreiber’s bat	14.0	 	x	[100]
 	Myotis bechsteini	Bechstein’s bat	19.0	 	x	[100]
 	Myotis dasyeneme	Pond bat	15.0	 	x	[100]
 	Myotis daubentoni	Daubenton’s bat	15.0	 	x	[100]
 	Myotis emarginatus	Geoffroy’s bat	15.0	 	x	[100]
 	Myotis evotis	 	2.2	 	m	[313]
 	Myotis grisescens	Gray myotis	16.5	 	f	[313]
 	Myotis lucifugus	Little brown bat (+)	 	30.0	x	[151]
 	Myotis myotis	Greater mouse-eared bat	18.0	 	x	[100]
 	Myotis mystacinus	Whiskered bat	18.0	 	x	[100]
 	Myotis nattereri	Natterer’s bat	15.0	 	x	[100]
 	Myotis nigricans	Black myotis	7.0	 	x	[313]
 	Myotis sodalis	Social bat	13.8	 	m	[313]
 	Myotis thysanodes	Fringed myotis	18.3	 	m	[313]
 	Myotis vivesi	Fish-eating bat	10.0	10.0	x	[313]
 	Myotis volans	Long-legged myotis	2.1	 	m	[313]
 	Nyctalus noctula	Noctule	8.0	 	x	[100]
 	Nycticeius humeralis	Evening bat (+)	 	5.0	x	[328]
 	Pipistrellus pipistrellus	Common pipistrelle	9.0	 	x	[100]
 	Pipistrellus subflavus	Pipistrelle	14.8	 	x	[324]
 	Plecotus auritus	Common long-eared bat	12.0	 	x	[100]
 	Plecotus austriacus	Gray long-eared bat	15.0	 	x	[100]
 	Plecotus rafinesquii	Eastern lump-nosed bat	10.1	 	f	[314]
 	Plecotus townsendii	Long-eared bat	10.0	 	x	[62]
Cynocephalidae	Cynocephallus spp.	Colugo (flying lemur)	 	17.5	x	[176]
Procaviidae	Dendrohyrax arboreus	Tree hyrax (+)	10.0	 	x	[100]
 	Dendrohyrax arboreus	Tree hyrax	 	12.3	x	[143]
 	Dendrohyrax dorsalis	Tree hyrax	 	5.5	x	[143]
 	Heterohyrax brucei	Bush hyrax	14.0	 	x	[100]
 	Heterohyrax spp.	Gray hyrax	11.0	 	f	[120] [121] [122] [123] [124]
 	Procavia capensis	Rock hyrax	14.0	 	x	[100]
 	Procavia capensis	Rock hyrax	8.5	11.0	x	[123] [143]
Erinaceidae	Echinosorex gymnurus	Moon rat	 	4.6	x	[100]
 	Echinosorex gymnurus	Moon rat	 	4.4	x	[143]
 	Erinaceus algirus	Algerian hedgehog	 	7.0	x	[100]
 	Erinaceus europaeus	Hedgehog	14.0	 	x	[21]
 	Erinaceus europaeus	Eurasian hedgehog	7.0	7.0	x	[45]
 	Erinaceus europaeus	West European hedgehog	8.0	 	x	[100]
 	Hemiechinus auritus	Long-eared desert hedgehog	 	6.8	x	[143]
 	Paraechinus aethiopicus	Desert hedgehog	 	4.5	x	[143]
Solenodontidae	Solenodon cubanus	Cuban solenodon	 	6.0	x	[100]
 	Solenodon paradoxus	Haitian solenodon	 	11.3	x	[100] [229]
Soricidae	Blarina brevicauda	Short-tailed shrew	2.5	 	x	[100]
 	Crocidura leucodon	Bicolored white-toothed shrew	3.0	 	x	[100]
 	Crocidura russula	Common European white-toothed shrew	3.2	 	x	[100]
 	Crocidura suaveolens	Lesser white-toothed shrew	 	2.7	x	[100]
 	Crocidura spp.	White-toothed shrew	 	4.0	x	[229]
 	Myosorex varius	Forest shrew	1.0	 	x	[100]
 	Neomys anomalus	Southern water shrew	2.0	 	x	[100]
 	Neomys fodiens	Eurasian water shrew	3.0	 	x	[100]
 	Neomys fodiens	Eurasian water shrew	 	1.6	x	[209]
 	Sorex alpinus	Alpine shrew	1.3	 	x	[100]
 	Sorex araneus	Eurasian common shrew	2.0	 	x	[100]
 	Sorex caecutiens	Laxmann’s shrew	2.0	 	x	[100]
 	Sorex fumeus	Smoky shrew	1.0	 	x	[100]
 	Sorex minutus	Lesser shrew	2.0	 	x	[100]
 	Sorex trowbridgei	Trowbridge’s shrew	1.5	 	x	[100]
 	Sorex vagrans	Vagrant shrew	1.3	 	x	[100]
 	Sorex spp.	Long-tailed shrew	 	2.0	f	[229]
 	Suncus etruscus	Pygmy white-toothed shrew	2.0	 	x	[21]
 	Suncus etruscus	Savi’s pygmy shrew	1.3	2.7	x	[100]
 	Suncus murinus	House shrew	2.5	 	x	[100]
 	Suncus spp.	Musk shrew	 	2.5	x	[207]
 	Tupaia belangeri	Tree shrew	 	10.0	x	[100]
 	Tupaia glis	Tree shrew (+)	12.0	 	x	[100]
 	Cryptotis spp.	Small-eared shrew	 	2.6	x	[214]
Talpidae	Galemys pyrenaicus	Pyrenean desman	4.0	 	x	[100]
 	Galemys pyrenaicus	Pyrenean desman	3.5	 	x	[258]
 	Parascalops breweri	Hairy-tailed mole	4.0	 	x	[105]
 	Parascalops breweri	Hairy-tailed mole	5.0	 	x	[100]
 	Scalopus aquaticus	Eastern aquatic mole	3.0	 	x	[100] [109]
 	Talpa europaea	European mole, common mole	4.0	 	x	[100]
 	Talpa europaea	European mole	3.0	 	x	[192]
 	Talpa micrura	Eastern mole	3.0	 	x	[100]
Tenrecidae	Echinops telfairi	Lesser Madagascar “hedgehog”	1.2	13.0	x	[100] [143]
 	Hemicentetes nigriceps	Black-headed streaked tenrec	2.6	 	x	[100]
 	Hemicentetes semispinosus	Streaked tenrec	 	2.6	x	[61] [63]
 	Hemicentetes semispinosus	Streaked tenrec	2.7	 	x	[100]
 	Microgale dobsoni	Dobson’s long-tailed tenrec	 	5.6	x	[64]
 	Microgale dobsoni	Dobson’s long-tailed tenrec	5.6	 	x	[100]
 	Microgale talazaci	Talazaci’s long-tailed tenrec	 	5.8	x	[64]
 	Microgale talazaci	Talazaci’s long-tailed tenrec	5.8	 	x	[100]
 	Setifer setosus	Large Madagascar “hedgehog”	 	4.6	x	[100]
 	Setifer setosus	Large Madagascar "hedgehog"	 	10.5	x	[143]
 	Tenrec ecaudatus	Tailless tenrec	 	5.0	x	[100]
 	Tenrec ecaudatus	Tenrec	 	6.3	x	[143]
Leporidae	Lepus americanus	Snowshoe rabbit	5.0	 	x	[92]
 	Lepus californicus	Black-tailed jack rabbit	 	6.8	x	[60]
 	Lepus europaeus	European hare	12.0	 	x	[100]
 	Lepus europaeus	European hare	 	7.4	x	[143]
 	Lepus timidus	Mountain hare	9.0	 	x	[100]
 	Oryctolagus cuniculus	Old World rabbit	10.0	 	x	[100]
 	Oryctolagus cuniculus	Old World rabbit	9.0	 	x	[101]
 	Oryctolagus cuniculus	Old World rabbit (+)	18.0	 	x	[21]
 	Sylvilagus floridanus	Eastern cottontail (+)	5.0	9.0	x	[280]
Ochotonidae	Ochotona collaris	Collared pika	6.0	 	x	[100]
 	Ochotona princeps	N. American pika	6.0	 	x	[100]
 	Ochotona princeps	N. American pika	7.0	 	x	[192] [210]
 	Ochotona pusilla	Small pika	4.0	 	x	[100]
Macroscelididae	Elephantulus rozetti	N. African elephant shrew (+)	 	3.0	x	[100]
 	Elephantulus rufescens	Rufous elephant shrew	6.0	1.6	x	[100]
 	Elephantulus intufi	Long-eared elephant shrew	 	8.8	x	[143]
 	Elephantulus myurus	Long-eared elephant shrew	1.1	 	f	[297]
 	Rhynchocyon chrysopygus	Golden-rumped elephant shrew	4.0	 	x	[100]
Burramyidae	Acrobates pygmaeus	Pygmy gliding possum	 	7.2	x	[143]
 	Acrobates pygmaeus	Pygmy gliding possum (+)	4.0	 	x	[100]
 	Burramys parvus	Mountain pygmy possum	4.0	7.0	x	[100] [229]
 	Cercartetus nanus	Dormouse possum	 	8.0	x	[44]
 	Distoechurus pennatus	Feather-tailed possum	 	1.5	x	[44] [332] [336]
Dasyuridae	Antechinomys laniger	Kultarr	 	3.0	x	[44]
 	Antechinus flavipes	Yellow-footed marsupial mouse	1.0	 	m	[100]
 	Antechinus flavipes	Yellow-footed marsupial mouse	2.0	 	f	[100]
 	Antechinus spp.	Broad-footed marsupial mouse (+)	 	3.0	f	[44]
 	Antechinus spp.	Broad-footed marsupial mouse	 	2.7	m	[261]
 	Antechinus stuartii	Brown antechinus	0.9	 	m	[192] [261]
 	Antechinus stuartii	Brown antechinus	3.0	 	f	[192] [261]
 	Dasycercus cristicauda	Mulgara (+)	6.0	 	x	[100]
 	Dasycercus cristicauda	Mulgara (+)	 	6.0	x	[304]
 	Dasykaluta rosamondae	 	 	3.0	f	[304]
 	Dasyuroides byrnei	Kowari	4.0	6.3	x	[143]
 	Dasyurus albopunctatus	Quoll	 	3.0	x	[143]
 	Dasyurus geoffroii	Quoll	 	3.0	x	[7]
 	Dasyurus maculatus	Quoll	 	4.0	x	[44]
 	Dasyurus viverrinus	Quoll	 	6.8	x	[143]
 	Dasyurus viverrinus	Quoll	5.0	 	x	[100]
 	Ningaui timealeyi	Pilbara ningaui	2.0	 	x	[100]
 	Ningaui spp.	Ningaui	 	2.1	f	[229]
 	Parantechinus apicalis	Speckled marsupial mouse	3.0	 	x	[100]
 	Parantechinus bilarni	Sandstone marsupial mouse	3.0	 	x	[100]
 	Phascogale tapoatafa	Tuan (+)	 	3.0	m	[48] [304]
 	Pseudoantechinus macdonnellensis	Fat-tailed marsupial mouse (+)	1.0	 	x	[100]
 	Sarcophilus harrisii	Tasmanian devil	8.0	 	x	[100]
 	Sarcophilus harrisii	Tasmanian devil	 	8.2	x	[143]
 	Sarcophilus harrisii	Tasmanian devil	7.0	 	x	[192]
 	Sminthopsis crassicaudata	Fat-tailed dunnart	1.5	 	f	[219]
 	Sminthopsis crassicaudata	Fat-tailed dunnart	1.3	 	m	[219]
 	Sminthopsis macroura	Stripe-faced dunnart	 	4.9	x	[143]
Didelphidae	Caluromys laniger	Woolly opossum	 	5.0	x	[100]
 	Caluromys philander	Woolly opossum	 	6.3	x	[143]
 	Caluromysiops irrupta	Black-shouldered opossum	 	7.8	x	[44]
 	Chironectes minimus	Water opossum (yapok)	 	2.9	x	[44]
 	Didelphis spp.	Large American opossum	3.0	5.0	x	[44] [126] [191] [280] [314]
 	Didelphis spp.	Large American opossum	7.0	2.0	x	[100]
 	Lutreolina crassicaudata	Thick-tailed opossum	 	3.0	x	[44]
 	Marmosa mexicana	Murine opossum	 	7.0	x	[100]
 	Marmosa spp.	Murine (mouse) opossum (+)	1.0	3.0	x	[126]
 	Metachirus nudicaudatus	Brown "four-eyed" opossum	 	4.0	x	[126]
 	Monodelphis domestica	Shorttailed opossum	 	6.0	x	[100]
 	Philander mcilhennyi	Black "four-eyed" opossum	 	2.3	x	[44]
 	Philander opossum	Gray "four-eyed" opossum	 	2.3	x	[44]
Macropodidae	Bettongia gaimardi	Short-nosed "rat"-kangaroo	 	11.8	x	[143]
 	Caloprymnus campestris	Desert "rat"-kangaroo	 	13.0	x	[143]
 	Dendrolagus dorianus	Doria’s tree kangaroo	8.0	 	x	[100]
 	Dendrolagus goodfellow	Goodfellow’s tree kangaroo	8.0	 	x	[100]
 	Dendrolagus inustus	Grizzled tree kangaroo	10.0	 	x	[100]
 	Dendrolagus matschiei	Matschie’s tree kangaroo	 	14.0	x	[44]
 	Dendrolagus matschiei	Matschie’s tree kangaroo	8.0	 	x	[100]
 	Dendrolagus ursinus	Black tree kangaroo	 	20.2	x	[44]
 	Dendrolagus ursinus	Black tree kangaroo	8.0	 	x	[100]
 	Dorcopsis veterum	New Guinean forest wallaby	 	7.6	x	[143]
 	Dorcopsis spp.	Forest wallaby (+)	8.0	 	x	[100]
 	Lagostrophus fasciatus	Banded hare-wallaby (+)	4.0	 	x	[100]
 	Macropus agilis	Agile wallaby	 	10.2	x	[44] [143] [162]
 	Macropus agilis	Agile wallaby (+)	10.0	 	x	[100]
 	Macropus antilopinus	Antilopine wallaroo	 	15.9	x	[44] [143] [162]
 	Macropus antilopinus	Antilopine wallaroo (+)	16.0	 	x	[100]
 	Macropus dorsalis	Black-striped wallaby	 	12.4	x	[44] [143] [162]
 	Macropus dorsalis	Black-striped scrub wallaby	15.0	 	x	[100]
 	Macropus eugenii	Tammar wallaby	 	9.8	x	[44] [143] [162]
 	Macropus eugenii	Tammar wallaby	14.0	 	x	[100]
 	Macropus fuliginosus	Western gray kangaroo	20.0	 	x	[100]
 	Macropus giganteus	Eastern gray kangaroo	20.0	 	x	[100]
 	Macropus giganteus	Eastern gray kangaroo	19.8	24.0	x	[162] [196]
 	Macropus parma	Parma wallaby	8.0	 	x	[100]
 	Macropus parma	Parma wallaby	7.0	 	x	[162] [196]
 	Macropus parryi	Whiptail wallaby	 	9.7	x	[44] [143] [162]
 	Macropus parryi	Pretty-faced wallaby (+)	10.0	 	x	[100]
 	Macropus robustus	Wallaroo	18.5	19.6	x	[100] [162] [196]
 	Macropus rufogriseus	Red-necked wallaby	15.0	 	x	[100]
 	Macropus rufogriseus	Red-necked wallaby	18.5	15.2	x	[162] [196]
 	Macropus rufus	Red kangaroo	30.0	 	x	[21]
 	Macropus rufus	Red kangaroo	20.0	 	x	[100]
 	Macropus rufus	Red kangaroo	22.0	16.3	x	[162] [196]
 	Onychogalea spp.	Nailtail wallaby (+)	7.0	 	x	[100]
 	Onychogalea spp.	Nailtail wallaby	 	7.3	x	[143]
 	Petrogale penicillata	Rock wallaby	 	14.4	x	[44]
 	Petrogale spp.	Rock wallaby	14.4	 	x	[100]
 	Potorous tridactyles	Potoroo	7.3	12.0	x	[103] [304]
 	Setonix brachyurus	Quokka	 	5.0	x	[100]
 	Setonix brachyurus	Quokka (+)	10.0	7.0	f	[287]
 	Setonix brachyurus	Quokka (+)	10.0	 	m	[287]
 	Thylogale billardierii	Tasmanian red-bellied pademelon	 	8.8	x	[44] [100]
 	Wallabia bicolor	Swamp wallaby	15.0	12.4	x	[44]
 	Wallabia bicolor	Swamp wallaby (+)	12.0	 	x	[100]
Microbiotheriidae	Dromiciops australis	Monito del monte	 	2.2	f	[248]
Myrmecobiidae	Myrmecobius fasciatus	Banded anteater (+)	 	5.0	m	[303]
 	Myrmecobius fasciatus	Banded anteater (+)	 	6.0	f	[303]
Notoryctidae	Notorytes typhlops	Marsupial mole	1.5	 	x	[100]
Peramelidae	Echymipera spp.	New Guinean spiny bandicoot	 	2.8	x	[143]
 	Isoodon macrourus	Brindled bandicoot	3.0	 	x	[192]
 	Isoodon macrourus	Short-nosed bandicoot	1.0	 	x	[100]
 	Isoodon spp.	Short-nosed bandicoot	4.0	 	x	[100]
 	Isoodon spp.	Short-nosed bandicoot	 	3.0	x	[301]
 	Perameles gunnii	Long-nosed bandicoot	 	3.0	x	[44]
 	Perameles spp.	Long-nosed bandicoot	3.0	 	x	[44]
 	Peroryctes raffrayanus	New Guinean bandicoot	 	3.3	x	[143]
 	Echymipera rufescens	New Guinean spiny bandicoot	 	2.9	x	[100]
Petauridae	Dactylopsila spp.	Striped possum	 	4.9	x	[143]
 	Dactylopsila trivirgata	Striped possum (+)	5.0	 	x	[100]
 	Gymnobelideus leadbeateri	Leadbeater’s possum	 	9.0	f	[295]
 	Gymnobelideus leadbeateri	Leadbeater’s possum	7.5	 	m	[295]
 	Petauroides volans	Greater gliding possum	 	15.0	x	[44]
 	Petauroides volans	Greater glider (+)	6.0	 	x	[100]
 	Petaurus australis	Fluffy glider	 	10.0	x	[44] [143]
 	Petaurus australis	Fluffy glider (+)	10.0	 	x	[100]
 	Petaurus breviceps	Sugar glider	 	14.0	x	[44] [143]
 	Petaurus breviceps	Sugar glider	14.0	 	x	[100]
 	Petaurus norfolcensis	Squirrel glider	 	11.9	x	[44] [143]
 	Pseudocheirus peregrinus	Ring-tailed possum	5.0	8.0	x	[44]
Phalangeridae	Spilocuscus maculatus	Spotted cuscus	11.0	 	x	[100]
 	Spilocuscus spp.	Spotted cuscus (+)	 	11.0	x	[304]
 	Trichosurus caninus	Mountain brush-tailed possum	17.0	 	x	[304]
 	Trichosurus caninus	Mountain brush-tailed possum	12.0	 	m	[100]
 	Trichosurus caninus	Mountain brush-tailed possum	17.0	 	f	[100]
 	Trichosurus vulpecula	Brush-tailed possum	13.0	 	x	[100]
 	Trichosurus vulpecula	Brush-tailed possum	13.0	14.7	x	[143] [304]
 	Wyulda squamicaudata	Scaly-tailed possum	 	4.3	x	[44]
 	Wyulda squamicaudata	Scaly-tailed possum (+)	 	6.0	x	[100]
Phascolarctidae	Phascolarctos cinereus	Koala	17.0	20.0	x	[143]
 	Phascolarctos cinereus	Koala	13.0	18.0	x	[192]
 	Phascolarctos cinereus	Koala (+)	 	15.0	x	[100]
Potoroidae	Aepyprymnus rufescens	Rufous “rat”-kangaroo (+)	6.0	 	x	[100]
 	Aepyprymnus rufescens	Rufous “rat”-kangaroo (+)	 	8.0	x	[44]
 	Bettongia spp.	Bettong	6.0	 	x	[100]
 	Potorous spp.	Potoroo	12.0	7.0	x	[100]
Pseudocheiridae	Hemibelideus lemuroides	Lemuroid ringtail possum (+)	4.0	 	x	[100]
 	Pseudocheirus peregrinus	Common ringtail possum	6.0	 	x	[100]
Tarsipedidae	Tarsipes rostratus	Honey possum	2.0	 	x	[192]
 	Tarsipes spenserae	Honey possum (+)	1.0	 	x	[100]
Thylacinidae	Thylacinus cynocephalus	Tasmanian wolf	 	8.4	x	[44]
 	Thylacinus cynocephalus	Tasmanian wolf	 	13.0	x	[100]
Thylacomyidae	Macrotis lagotis	Rabbit-bandicoot	 	5.0	x	[100]
 	Macrotis lagotis	Rabbit-bandicoot	 	7.2	x	[44]
Vombatidae	Lasiorhinus latifrons	Southern hairy-nosed wombat	 	20.0	x	[100]
 	Lasiorhinus latifrons	Hairy-nosed wombat	 	24.5	x	[143]
 	Lasiorhinus latifrons	Southern hairy-nosed wombat	 	18.0	x	[192]
 	Vombatus ursinus	Common wombat	26.0	 	x	[21]
 	Vombatus ursinus	Common wombat	 	26.1	x	[44]
