Order/Family	Genus/Species	Common Name	Wild	Capt.	M/F	Reference
 	Vombatus ursinus	Common wombat	5.0	26.0	x	[100] [192]
Ornithorhynchidae	Ornithorhynchus anatinus	Duck-billed platypus	17.0	 	x	[21]
 	Ornithorhynchus anatinus	Duck-billed platypus	 	17.0	x	[101]
 	Ornithorhynchus anatinus	Duck-billed platypus	 	17.0	x	[100]
 	Ornithorhynchus anatinus	Duck-billed platypus	 	17.0	x	[143]
Tachyglosidae	Tachyglossus aculeatus	Short-nosed echidna (+)	 	50.0	x	[96]
 	Tachyglossus aculeatus	Short-nosed echidna	 	49.4	x	[100]
 	Zaglossus bruijni	Long-nosed echidna	 	30.7	x	[96]
 	Zaglossus bruijni	Long-nosed echidna	 	31.0	x	[100]
Equidae	Equus asinus	African wild ass	20.0	 	x	[100]
 	Equus asinus	African wild ass	 	47.0	x	[331]
 	Equus burchelli (= quagga)	Burchell’s zebra	 	40.0	x	[99] [160]
 	Equus caballus	Horse	 	50.0	x	[15] [326] [331]
 	Equus caballus	Horse	62.0	 	x	[21]
 	Equus grevyi	Grevy’s zebra	20.0	 	x	[100]
 	Equus grevyi	Grevy’s zebra	 	22.0	x	[160] [163] [229]
 	Equus hemionus	Onager	20.0	 	x	[100]
 	Equus hemionus	Onager	 	38.8	x	[143]
 	Equus quagga	Plains zebra (Quagga)	20.0	 	x	[100]
 	Equus zebra	Mountain zebra	20.0	 	x	[100]
 	Equus zebra	Mountain zebra	24.0	 	f	[239]
Rhinocerotidae	Ceratotherium simum	White rhinoceros	36.0	 	f	[98] [160] [234] [235] [297]
 	Ceratotherium simum	White rhinoceros	50.0	 	x	[98] [160] [234] [235] [297]
 	Ceratotherium simum	White rhinoceros	45.0	 	x	[100] [192]
 	Dicerorhinus sumatrensis	Sumatran rhinoceros	35.0	 	x	[100]
 	Dicerorhinus sumatrensis	Sumatran rhinoceros	 	32.7	x	[143]
 	Dicerorhinus sumatrensis	Sumatran rhinoceros	32.0	 	x	[192]
 	Diceros bicornis	Black rhinoceros (+)	 	45.0	x	[143]
 	Diceros bicornis	Black rhinoceros	40.0	 	x	[100] [192]
 	Rhinoceros sondaicu	Javan rhinoceros	40.0	 	x	[100]
 	Rhinoceros sondaicus	Javan rhinoceros	 	21.0	x	[170] [172]
 	Rhinoceros unicornis	Indian rhinoceros	49.0	 	x	[21]
 	Rhinoceros unicornis	Indian rhinoceros	40.0	 	x	[100]
 	Rhinoceros unicornis	Greater Indian rhinoceros	 	47.0	x	[172]
 	Rhinoceros unicornis	Indian rhinoceros	45.0	 	x	[192]
Tapiridae	Tapirus indicus	Malayan tapir	30.0	 	x	[192]
 	Tapirus terrestris	Brazilian tapir	30.0	 	x	[100] [192]
 	Tapirus terrestris	Brazilian tapir	35.0	 	x	[21]
 	Tapirus terrestris	Brazilian tapir	 	35.0	x	[143]
Manidae	Manis crassicaudata	Pangolin	 	13.5	x	[143]
 	Manis crassicaudata	Pangolin	 	13.0	x	[192]
Odobenidae	Odobenus rosmarus	Walrus	16.8	 	x	[21]
 	Odobenus rosmarus	Walrus (+)	40.0	 	x	[68] [69] [70] [192]
 	Odobenus rosmarus	Walrus	40.0	 	x	[192]
 	Odobenus rosmarus	Walrus	40.0	 	x	[100]
Otariidae	Arctocephalus galapagoensis	Southern fur seal	22.0	 	f	[42]
 	Arctocephalus gazella	Antarctic fur seal (+)	13.0	 	m	[192]
 	Arctocephalus gazella	Antarctic fur seal	23.0	 	f	[192]
 	Arctocephalus pusillus	Southern fur seal	18.0	 	x	[157] [327]
 	Callorhinus ursinus	Northern fur seal	30.0	 	x	[9]
 	Callorhinus ursinus	Northern fur seal	25.0	 	x	[192]
 	Eumetopias jubatus	Northern sea lion	23.0	 	x	[100]
 	Eumetopias jubatus	Northern sea lion	30.0	 	f	[157] [189] [279]
 	Otaria byronia	S. American sea lion	20.0	 	x	[100]
 	Otaria flavescens	Southern sea lion	 	24.8	x	[143]
 	Zalophus californianus	California sea lion	17.0	 	x	[100]
 	Zalophus californianus	California sea lion	 	30.0	x	[157]
Phocidae	Cystophora cristata	Hooded seal	35.0	 	x	[23]
 	Cystophora cristata	Hooded seal	34.0	 	m	[192]
 	Cystophora cristata	Hooded seal (+)	35.0	 	f	[192]
 	Erignathus barbatus	Bearded seal	31.0	 	x	[33] [157]
 	Erignathus barbatus	Bearded seal	25.0	 	m	[192]
 	Erignathus barbatus	Bearded seal	31.0	 	f	[192]
 	Halichoerus grypus	Gray seal (+)	46.0	 	x	[21] [198]
 	Halichoerus grypus	Gray seal (+)	40.0	 	x	[100]
 	Halichoerus grypus	Gray seal	31.0	43.0	m	[192]
 	Halichoerus grypus	Gray seal	46.0	 	f	[192]
 	Hydrurga leptonyx	Leopard seal	26.0	 	x	[100] [157] [166] [291]
 	Hydrurga leptonyx	Leopard seal (+)	23.0	 	m	[192]
 	Hydrurga leptonyx	Leopard seal (+)	26.0	 	f	[192]
 	Leptonychotes weddelli	Weddell seal	21.0	 	m	[192]
 	Leptonychotes weddelli	Weddell seal	25.0	 	f	[192]
 	Leptonychotes weddelli	Weddell seal	25.0	 	x	[100] [198]
 	Lobodon carcinophagus	Crabeater seal	23.0	 	x	[100]
 	Lobodon carcinophagus	Crabeater seal	39.0	 	x	[157] [165]
 	Lobodon carcinophagus	Crabeater seal	36.0	 	f	[192]
 	Lobodon carcinophagus	Crabeater seal (+)	30.0	 	m	[192]
 	Mirounga angustirostris	Northern elephant seal	14.0	15.0	x	[143]
 	Mirounga angustirostris	Northern elephant seal	14.0	 	m	[192]
 	Mirounga angustirostris	Northern elephant seal	14.0	 	f	[192]
 	Mirounga leonina	Southern elephant seal	20.0	 	x	[100]
 	Mirounga leonina	Southern elephant seal	20.0	 	m	[192]
 	Mirounga leonina	Southern elephant seal	18.0	 	f	[192]
 	Mirounga leonina	Southern elephant seal	23.0	 	x	[118]
 	Monachus monachus	Mediterranean monk seal	 	23.7	x	[143]
 	Monachus schauinslandi	Hawaiian monk seal	30.0	 	x	[154] [157] [192]
 	Ommatophoca rossi	Ross seal	21.0	 	x	[157] [254]
 	Ommatophoca rossi	Ross seal	21.0	 	m	[192]
 	Ommatophoca rossi	Ross seal	19.0	 	f	[192]
 	Pagophilus groenlandicus	Harp seal (+)	30.0	 	x	[100]
 	Phoca caspica	Caspian seal	35.0	 	x	[100]
 	Phoca caspica	Caspian seal	50.0	 	x	[157]
 	Phoca caspica	Caspian seal	47.0	 	m	[192]
 	Phoca caspica	Caspian seal	50.0	 	f	[192]
 	Phoca fasciata	Ribbon seal	30.0	 	x	[34] [157]
 	Phoca fasciata	Ribbon seal	31.0	 	m	[192]
 	Phoca fasciata	Ribbon seal	23.0	 	f	[192]
 	Phoca groenlandica	Harp seal (+)	30.0	 	m	[157] [264]
 	Phoca groenlandica	Harp seal (+)	30.0	 	f	[157] [192] [264]
 	Phoca groenlandica	Harp seal	29.0	 	m	[192]
 	Phoca hispida	Ringed seal	46.0	 	x	[100]
 	Phoca hispida	Ringed seal	43.0	 	m	[192]
 	Phoca hispida	Ringed seal	40.0	 	f	[192]
 	Phoca hispida	Ringed seal	43.0	 	x	[82] [157]
 	Phoca largha	Spotted seal	32.0	 	x	[19] [157] [198]
 	Phoca largha	Spotted seal	35.0	 	x	[100]
 	Phoca largha	Spotted seal	29.0	 	m	[192]
 	Phoca largha	Spotted seal	32.0	 	f	[192]
 	Phoca sibirica	Baikal seal	56.0	 	x	[157] [309]
 	Phoca sibirica	Baikal seal	52.0	 	m	[192]
 	Phoca sibirica	Baikal seal	56.0	 	f	[192]
 	Phoca vitulina	Harbor seal	40.0	 	x	[100]
 	Phoca vitulina	Harbor seal	26.0	 	m	[192]
 	Phoca vitulina	Harbor seal	32.0	 	f	[192]
 	Phoca vitulina	Harbor seal	34.0	 	x	[233]
Callimiconidae	Callimico goeldii	Goeldi’s monkey (+)	 	9.0	x	[100]
 	Callimico goeldii	Goeldi’s monkey	 	17.9	x	[104]
 	Callimico goeldii	Goeldi’s monkey	 	16.1	f	[104]
 	Callimico goeldii	Goeldi’s monkey (+)	 	15.8	m	[104]
 	Callimico goeldii	Goeldi’s marmoset	 	10.9	x	[143]
Callitrichidae	Callithrix argentata	Bare-eared marmoset	 	16.8	f	[104]
 	Callithrix argentata	Bare-eared marmoset	 	8.8	x	[104]
 	Callithrix humeralifer	Tassel-eared marmoset	 	15.0	x	[104]
 	Callithrix jacchus	Common marmoset (+)	10.0	 	x	[100]
 	Callithrix jacchus	Common marmoset (+)	 	16.8	m	[104]
 	Callithrix jacchus	Common marmoset (+)	 	15.7	x	[104]
 	Callithrix jacchus	Common marmoset	 	12.0	x	[223]
 	Callithrix jacchus	Common marmoset	10.0	16.0	x	[229]
 	Cebuella pygmaea	Pygmy marmoset (+)	10.0	 	x	[100]
 	Cebuella pygmaea	Pygmy marmoset (+)	 	15.1	f	[104]
 	Cebuella pygmaea	Pygmy marmoset	 	11.5	x	[143]
 	Leontopithecus rosalia	Golden lion marmoset (+)	 	24.8	m	[104]
 	Leontopithecus rosalia	Golden lion marmoset	 	22.0	f	[104]
 	Leontopithecus spp.	Lion tamarin (+)	 	15.0	x	[229]
 	Saguinus fuscicollis	Saddle-back tamarin	 	24.5	f	[104]
 	Saguinus fuscicollis	Saddle-back tamarin	 	20.4	f	[104]
 	Saguinus imperator	Long-tusked tamarin	 	20.2	m	[104]
 	Saguinus imperator	Long-tusked tamarin	 	13.0	m	[104]
 	Saguinus imperator	Long-tusked tamarin (+)	 	17.9	x	[143]
 	Saguinus nigricollis	Black and red tamarin (+)	10.0	 	x	[100]
 	Saguinus nigricollis	Black and red tamarin	 	15.2	f	[104]
 	Saguinus nigricollis	Black and red tamarin	 	11.1	x	[104]
 	Saguinus oedipus	Cotton top tamarin (+)	 	23.1	m	[104]
 	Saguinus oedipus	Cotton top tamarin (+)	 	23.0	x	[104]
 	Saguinus tamarin	 	 	13.2	f	[104]
 	Saguinus tamarin	 	 	15.4	m	[104]
Cebidae	Alouatta caraya	Black and gold howler	 	20.3	 	[104]
 	Alouatta caraya	Black and gold howler	 	20.0	 	[104]
 	Alouatta palliata	Mantled howler (+)	20.0	 	x	[38] [81] [100] [269]
 	Alouatta palliata	Mantled howler (+)	25.0	 	 	[104]
 	Alouatta seniculus	Red howler	25.0	 	 	[269]
 	Alouatta villosa	Guatemalan howler (+)	20.0	 	x	[125]
 	Aotus spp.	Night monkey	 	18.5	x	[143]
 	Aotus trivirgatus	Night/owl monkey	12.0	 	x	[100]
 	Aotus trivirgatus	Night/owl monkey	 	25.3	 	[104]
 	Aotus trivirgatus	Night/owl monkey	 	19.3	 	[104]
 	Aotus trivirgatus	Night/owl monkey	 	18.5	x	[143]
 	Aotus trivirgatus	Night/owl monkey	20.0	 	 	[269]
 	Ateles belzebuth	White-bellied spider monkey	 	28.0	 	[104]
 	Ateles belzebuth	White-bellied spider monkey	 	26.0	m	[104]
 	Ateles belzebuth	White-bellied spider monkey	 	26.0	f	[104]
 	Ateles fusciceps	Brown-headed spider monkey	 	21.5	 	[104]
 	Ateles fusciceps	Brown-headed spider monkey	 	24.0	 	[269]
 	Ateles paniscus	Black spider monkey (+)	20.0	 	x	[100]
 	Ateles paniscus	Black spider monkey (+)	 	37.8	f	[104]
 	Ateles paniscus	Black spider monkey (+)	 	34.0	f	[104]
 	Ateles spp.	Spider monkey	 	33.0	x	[143]
 	Cacajao calvus	Bald uakari (+)	18.0	 	x	[100]
 	Cacajao calvus	Bald uakari	 	22.3	f	[104]
 	Cacajao calvus	Bald uakari (+)	 	19.9	x	[104]
 	Cacajao calvus	Bald uakari (+)	 	20.5	x	[143]
 	Cacajao melanocephalus	Black-headed uakari (+)	12.0	 	x	[100]
 	Cacajao melanocephalus	Black-headed uakari (+)	 	18.0	x	[104]
 	Cacajao (calvus) rubicundus	Bald uakari (+)	 	27.0	m	[104]
 	Cacajao (calvus) rubicundus	Bald uakari (+)	 	23.0	f	[104]
 	Callicebus moloch	Dusky titi (+)	 	25.3	m	[104]
 	Callicebus moloch	Dusky titi (+)	 	20.3	f	[104]
 	Callicebus moloch	Dusky titi	 	12.0	x	[143]
 	Cebus albifrons	White-fronted capuchin (+)	40.0	 	x	[100]
 	Cebus albifrons	White-fronted capuchin (+)	 	44.0	x	[104]
 	Cebus albifrons	White-fronted capuchin	 	40.5	f	[104]
 	Cebus albifrons	White-fronted capuchin	 	25.0	m	[104]
 	Cebus apella	Brown capuchin (+)	40.0	 	x	[100]
 	Cebus apella	Brown capuchin	 	45.1	m	[104]
 	Cebus apella	Brown capuchin	 	41.0	m	[104]
 	Cebus apella	Capuchin	 	44.6	x	[143]
 	Cebus capucinus	White-faced capuchin	 	47.0	x	[100]
 	Cebus capucinus	White-faced capuchin	 	54.8	m	[104]
 	Cebus capucinus	White-faced capuchin	 	46.9	m	[104] [143]
 	Cebus capucinus	White-faced capuchin (+)	 	40.0	x	[142]
 	Cebus nigrivittatus	Weeper capuchin (+)	30.0	 	x	[100]
 	Cebus nigrivittatus	Weeper capuchin (+)	 	41.0	f	[104]
 	Chiropotes albinasus	White-nosed saki (+)	17.0	 	x	[100]
 	Chiropotes albinasus	White-nosed saki (+)	 	11.7	f	[104]
 	Chiropotes satanas	Bearded saki (+)	18.0	 	x	[100]
 	Chiropotes satanas	Bearded saki	 	15.0	f	[104]
 	Chiropotes satanas	Bearded saki	 	12.7	m	[104]
 	Chiropotes satanas	Bearded saki	 	15.0	x	[223]
 	Lagothrix lagotricha	Woolly monkey	 	25.0	x	[100]
 	Lagothrix lagotricha	Woolly monkey	 	30.0	f	[104]
 	Lagothrix lagotricha	Woolly monkey	 	25.9	x	[104]
 	Lagothrix lagotricha	Woolly monkey	 	24.8	m	[143]
 	Pithecia aequatorialis	Saki	 	14.9	x	[143]
 	Pithecia monachus	Red-bearded saki (+)	 	14.0	x	[100]
 	Pithecia monachus	Red-bearded saki	 	24.6	f	[104]
 	Pithecia pithecia	White-faced saki (+)	14.0	 	x	[100]
 	Pithecia pithecia	White-faced saki (+)	 	20.7	m	[104]
 	Pithecia pithecia	White-faced saki (+)	 	18.0	m	[104]
 	Pithecia pithecia	White-faced saki (+)	 	18.0	f	[104]
 	Saimiri sciureus	Common squirrel monkey	21.0	 	x	[100]
 	Saimiri sciureus	Common squirrel monkey	 	27.0	f	[104]
 	Saimiri sciureus	Common squirrel monkey	 	22.7	m	[104]
 	Saimiri sciureus	Common squirrel monkey	 	21.0	x	[223]
 	Saimiri spp.	Squirrel monkey (+)	 	15.3	x	[143]
Cercopithecidae	Allenopithecus nigroviridis	Allen’s monkey (+)	23.0	 	x	[100]
 	Cercocebus (= Lophocebus) aterrimus	Black mangabey	 	26.8	m	[104]
 	Cercocebus albigena	Gray-cheeked mangabey	21.0	 	x	[110]
 	Cercocebus albigena	Gray-cheeked mangabey	 	32.7	x	[143]
 	Cercocebus atys	Sooty mangabey	 	26.8	m	[104]
 	Cercocebus atys	Sooty mangabey	18.0	 	x	[110]
 	Cercocebus galeritus	Tana River mangabey (+)	 	21.0	f	[104]
 	Cercocebus galeritus	Tana River mangabey	 	19.0	x	[269]
 	Cercocebus torquatus	Collared mangabey (+)	30.0	 	x	[100]
 	Cercocebus torquatus	Collared mangabey (+)	 	14.7	f	[104]
 	Cercocebus torquatus	Collared mangabey	20.5	 	x	[110]
 	Cercocebus torquatus	Collared mangabey (+)	 	27.0	x	[269]
 	Cercopithecus (= Chlorocebus) aethiops	Vervet (+)	30.0	 	x	[100]
 	Cercopithecus (= Chlorocebus) aethiops	Vervet (+)	 	23.0	m	[104]
 	Cercopithecus (= Chlorocebus) aethiops	Vervet (+)	 	31.6	m	[104]
 	Cercopithecus (= Chlorocebus) aethiops	Vervet	31.0	 	x	[110]
 	Cercopithecus ascanius	Red-tailed guenon	 	28.3	f	[104]
 	Cercopithecus ascanius	Red-tailed guenon	 	25.9	f	[104]
 	Cercopithecus campbelli	Campbell’s guenon (+)	 	25.0	f	[104]
 	Cercopithecus campbelli	Guenon (+)	 	33.0	x	[143]
 	Cercopithecus cephus	Mustached guenon (+)	 	23.0	m	[104]
 	Cercopithecus cephus	Mustached guenon (+)	 	23.0	f	[104]
 	Cercopithecus diana	Diana monkey	 	19.0	x	[100]
 	Cercopithecus diana	Diana monkey	 	37.3	f	[104]
 	Cercopithecus diana	Diana monkey (+)	 	30.0	f	[104]
 	Cercopithecus diana	Diana monkey	34.8	 	x	[110]
 	Cercopithecus diana	Diana monkey	 	34.8	x	[142]
 	Cercopithecus hamlyni	Owl-faced monkey	 	27.0	m	[104]
 	Cercopithecus l'hoesti	L’hoest’s monkey (+)	 	16.0	x	[100]
 	Cercopithecus mitis	Blue monkey (+)	 	27.1	f	[104]
 	Cercopithecus mitis	Blue monkey (+)	 	25.0	f	[104]
 	Cercopithecus mona	Mona monkey (+)	30.0	 	x	[100]
 	Cercopithecus mona	Mona monkey (+)	 	20.5	f	[104]
 	Cercopithecus mona	Mona monkey	 	22.0	x	[269]
 	Cercopithecus neglectus	De Brazza’s monkey	 	26.3	f	[104]
 	Cercopithecus neglectus	De Brazza’s monkey	 	23.0	f	[104]
 	Cercopithecus nictitans	Greater spot-nosed monkey	 	23.0	f	[104]
 	Cercopithecus nictitans	Greater spot-nosed monkey	 	18.9	m	[104]
 	Cercopithecus petaurista	Lesser spot-nosed guenon (+)	 	19.0	x	[104]
 	Cercopithecus petaurista	Lesser spot-nosed guenon (+)	 	16.7	f	[104]
 	Cercopithecus pogonias	Crowned guenon	 	24.1	f	[104]
 	Cercopithecus pogonias	Crowned guenon	 	18.5	f	[104]
 	Colobus guereza	Guereza	 	24.0	x	[100]
 	Colobus guereza	Guereza	 	24.5	m	[104]
 	Colobus guereza	Guereza	 	23.8	f	[104]
 	Colobus polykomos	Western black and white colobus (+)	 	27.5	x	[115]
 	Colobus polykomos	Western black and white colobus (+)	 	23.0	x	[100]
 	Colobus polykomos	Western black and white colobus	 	24.0	m	[104]
 	Colobus polykomos	Western black and white colobus	26.0	 	x	[110]
 	Colobus polykomos	Western black and white colobus	30.5	 	x	[269]
 	Erythrocebus patas	Patas monkey (+)	21.0	 	x	[100]
 	Erythrocebus patas	Patas monkey	 	23.9	f	[104]
 	Erythrocebus patas	Patas monkey	 	21.7	f	[104]
 	Erythrocebus patas	Patas monkey	 	21.6	x	[143]
 	Macaca arctoides	Stump-tailed macaque (+)	 	24.0	f	[104]
 	Macaca arctoides	Stump-tailed macaque (+)	 	20.1	f	[104]
 	Macaca arctoides	Stump-tailed macaque (+)	30.0	 	x	[110]
 	Macaca fascicularis	Crab-eating monkey	 	38.0	x	[100]
 	Macaca fascicularis	Crab-eating monkey	 	25.0	f	[104]
 	Macaca fascicularis	Crab-eating macaque	 	37.1	x	[143]
 	Macaca fuscata	Japanese macaque	 	32.0	f	[71]
 	Macaca fuscata	Japanese macaque	 	27.0	m	[71]
 	Macaca fuscata	Japanese macaque (+)	30.0	 	x	[100]
 	Macaca fuscata	Japanese macaque	 	33.0	x	[104]
 	Macaca fuscata	Japanese macaque (+)	 	22.7	f	[104]
 	Macaca mulatta	Rhesus macaque (+)	30.0	 	x	[100]
 	Macaca mulatta	Rhesus macaque (+)	 	26.0	x	[104]
 	Macaca mulatta	Rhesus macaque (+)	 	23.0	f	[104]
 	Macaca mulatta	Rhesus macaque	 	36.0	x	[104]
 	Macaca mulatta	Rhesus macaque	 	35.0	x	[104]
 	Macaca nemestrina	Pig-tailed macaque (+)	30.0	 	x	[100]
 	Macaca nemestrina	Pig-tailed macaque (+)	 	34.3	x	[104]
 	Macaca nemestrina	Pig-tailed macaque	 	27.1	m	[104]
 	Macaca radiata	Bonnet macaque (+)	20.0	 	x	[100]
 	Macaca silenus	Lion-tailed macaque (+)	30.0	 	x	[100]
 	Macaca silenus	Lion-tailed macaque	 	40.0	f	[104]
 	Macaca silenus	Lion-tailed macaque	 	38.0	m	[104]
 	Macaca sinica	Toque macaque	 	35.0	x	[76]
 	Macaca sinica	Toque macaque	 	29.3	x	[104]
 	Macaca sinica	Toque macaque	30.0	 	x	[269]
 	Macaca sylvanus	Barbary ape (+)	20.0	 	x	[100]
 	Macaca sylvanus	Barbary ape (+)	 	17.0	m	[104]
 	Macaca sylvanus	Barbary ape	22.0	 	x	[269]
 	Mandrillus leucophaeus	Drill	 	33.4	f	[104]
 	Mandrillus leucophaeus	Drill	 	28.4	x	[104]
 	Mandrillus leucophaeus	Drill	 	28.6	x	[110]
 	Mandrillus sphinx	Mandrill	 	46.0	x	[100] [116]
 	Mandrillus sphinx	Mandrill	 	31.7	f	[104]
 	Miopithecus talapoin	Talapoin	 	27.7	x	[143]
 	Miopithecus talapoin	Talapoin	28.0	 	x	[100]
 	Miopithecus talapoin	Dwarf guenon (Talapoin)	 	30.9	m	[104]
 	Miopithecus talapoin	Dwarf guenon (Talapoin) (+)	 	23.1	m	[104]
 	Miopithecus talapoin	Dwarf guenon (Talapoin)	 	27.7	x	[143]
 	Nasalis larvatus	Proboscis monkey	 	13.6	x	[97]
 	Nasalis larvatus	Proboscis monkey	 	21.0	m	[104]
 	Nasalis larvatus	Proboscis monkey (+)	 	20.0	f	[104]
 	Papio anubis	Olive baboon	 	25.2	m	[104]
 	Papio cynocephalus	Yellow baboon	45.0	 	x	[100]
 	Papio cynocephalus	Yellow baboon (+)	 	35.1	f	[104]
 	Papio cynocephalus	Yellow baboon	 	27.7	x	[104]
 	Papio cynocephalus	Yellow baboon	40.0	 	x	[269]
 	Papio hamadryas	Hamadryas baboon (+)	37.0	 	x	[100]
 	Papio hamadryas	Hamadryas baboon	 	37.5	m	[104] [229]
 	Papio hamadryas	Hamadryas baboon	 	35.6	x	[104] [143]
 	Papio hamadryas	Hamadryas baboon	 	28.8	x	[104]
 	Papio papio	Guinea baboon	 	27.0	m	[104]
 	Papio papio	Guinea baboon	 	25.8	x	[104]
 	Papio papio	Guinea baboon	 	40.0	x	[269]
 	Papio ursinus	Chacma baboon (+)	 	31.2	f	[104]
 	Papio ursinus	Chacma baboon	 	27.6	x	[104]
 	Papio ursinus	Chacma baboon	 	45.0	x	[229]
 	Presbytis (= Trachypithecus) obscura	Spectacled leaf monkey(+)	 	25.0	x	[104]
 	Presbytis (= Trachypithecus) obscura	Spectacled leaf monkey(+)	 	15.3	f	[104]
 	Presbytis (= Trachypithecus) cristata	Silvered langur	 	31.1	f	[104]
 	Presbytis (= Trachypithecus) cristata	Silvered langur	 	18.8	m	[104]
 	Presbytis (= Semnopithecus) entellus	Hanuman langur (+)	 	25.0	f	[100] [104]
 	Presbytis (= Semnopithecus) entellus	Hanuman langur (+)	 	24.0	m	[104]
 	Semnopithecus (= Presbytis) entellus	Hanuman langur (+)	 	25.0	x	[229]
 	Presbytis melalophos	Mitered leaf monkey	 	16.0	x	[104]
 	Presbytis senex (= Trachypithecus vetulus)	Purple-faced leaf monkey (+)	 	23.0	m	[104]
 	Pygathrix nemaeus	Red-shanked douc langur (+)	 	25.0	m	[104]
 	Pygathrix nemaeus	Red-shanked douc langur (+)	 	21.0	m	[104]
 	Theropithecus gelada	Gelada (+)	20.0	 	x	[100]
 	Theropithecus gelada	Gelada (+)	 	28.0	f	[104]
 	Theropithecus gelada	Gelada (+)	 	27.0	f	[104]
 	Theropithecus gelada	Gelada (+)	 	20.8	x	[143]
 	Trachypithecus spp.	Leaf monkey	 	23.7	x	[143]
Cheirogaleidae	Cheirogaleus major	Greater dwarf lemur	 	15.0	x	[192]
 	Cheirogaleus major	Greater dwarf lemur	 	15.0	x	[100]
 	Cheirogaleus major	Greater dwarf lemur	 	10.0	f	[104]
 	Cheirogaleus major	Greater dwarf lemur	 	8.7	x	[104]
 	Cheirogaleus medius	Fat-tailed dwarf lemur	 	18.0	x	[100]
 	Cheirogaleus medius	Fat-tailed dwarf lemur	 	19.3	m	[104]
 	Cheirogaleus medius	Fat-tailed dwarf lemur	 	17.0	f	[104]
 	Cheirogaleus medius	Fat-tailed dwarf lemur	 	18.0	x	[192]
 	Cheirogaleus spp.	Dwarf lemur (+)	 	8.3	x	[143]
 	Microcebus murinus	Gray lesser mouse lemur	 	14.0	x	[192]
 	Microcebus rufus	Brown lesser mouse lemur	 	12.0	x	[192]
 	Mirza coquereli	Coquerel’s dwarf lemur	 	15.3	x	[104] [143]
Daubentoniidae	Daubentonia madagascariensis	Aye-aye	 	23.3	x	[143]
 	Daubentonia madagascariensis	Aye-aye (+)	 	23.0	x	[100]
 	Daubentonia madagascariensis	Aye-aye	 	24.3	x	[104]
 	Daubentonia madagascariensis	Aye-aye (+)	 	5.4	f	[104]
Hominidae	Homo sapiens	Human (+)	 	116.0	x	[21]
 	Homo sapiens	Human (+)	 	100.0	x	[229]
 	Homo sapiens	Human	 	122.5	f	[5]
Hylobatidae	Hylobates agilis	Agile gibbon	25.0	 	x	[100]
 	Hylobates agilis	Agile gibbon (+)	 	44.0	m	[104]
 	Hylobates agilis	Agile gibbon (+)	 	28.0	f	[104]
 	Hylobates concolor	Concolor gibbon	 	44.1	x	[104]
 	Hylobates concolor	Concolor gibbon (+)	 	25.0	f	[104]
 	Hylobates lar	Lar gibbon	 	31.5	x	[142]
 	Hylobates lar	Lar gibbon	25.0	 	x	[192]
 	Hylobates lar	Lar gibbon (+)	 	40.0	m	[104]
 	Hylobates lar	Lar gibbon (+)	 	40.0	f	[104]
 	Hylobates moloch muelleri	Gray gibbon	25.0	 	x	[100]
 	Hylobates moloch muelleri	Gray gibbon (+)	 	29.0	m	[104]
 	Hylobates moloch muelleri	Gray gibbon (+)	 	25.0	f	[104]
 	Hylobates pileatus	Capped gibbon	25.0	 	x	[100]
